#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;;;;;;;;
EVTDESC_RIRSEMUS_111111;Since the days of the Rashidun Caliphs, the " Rightly Guided ", and the fall of Ummayads, grasp of the Allah's vicar never cease to weaken on the Dar Al Islam . Recently, our temporal power competed with those of mere Amîrs and Shah, which dare claim they were independants ! But Allah is the greatest, and he bestow us the power to claim two essential regions of the Machreq. The Amîrs are in great fear now , for they now they greatly displeased Allah by refusing the authority of the Leader of the Believers . And they are right in their fears, for it is God's will if we are going to once more unite all the Dar Al Islam under our power !;"Depuis les Califes Rashiduns, "les biens guidés" et la chute des Ommeyyades, l'emprise du Vicaire d'Allah n'a cessé de s'affaiblir sur le Dar al-Islam. Dernièrement, notre puissance temporelle était concurrencée par des Amîrs et des Shahs qui ont osé s'ériger en états indépendants. Mais Allah est Grand, et il a accordé au Calife toute sa puissance, car nous nous sommes emparés des régions essentielles du Machreq. Les Amîrs tremblent à présent, car ils savent qu'ils ont mécontentés Allah en refusant de se soumettre au Commandeur des Croyants. Et ils ont raison de trembler, car c'est la volonté de Dieu que nous unissions à nouveau la totalité du Dar al-Islam sous notre pouvoir ! ";;;;;;;;;;;x;;;;;;;;;
EVTOPTA_RIRSEMUS_111111;Allahu Akbar !;Allah Ouakbar !;;;;;;;;;;;x;;;;;;;;;
EVTNAME_RIRSEMUS_111112;Amîr al-'umara;Amîr al-'umara'!;;;;;;;;;;;x;;;;;;;;;
EVTDESC_RIRSEMUS_111112;Since the times of the Rashidun Caliphs, the "Rightly Guided" , and the fall of Ummayads, the grasp of the Allah's vicar never cease to weaken on the Dar Al Islam . The Dar Al Islam was divided between several emirates and Iranian shahdoms, while the Caliphs became weaker and weaker and far more decadent. It was a sign that Allah abandon them. It was also His will when we took over Bagdad and the Caliph fell within our grasp. Even if few of muslim recognized it, they changed their minds when the rest of the Machreq fell within our grasp ! We thus asked a new title to the Caliph, the one of the Amîr Al Umara, emir of emir ,which grant us claims to rule the Dar Al Islam . However, the Caliph do not hide his anger. Whatever, for that even God's vicar cannot go against God's will !;"Depuis les Califes Rashiduns, "les biens guidés" et la chute des Ommeyyades, l'emprise du Vicaire d'Allah n'a cessé de s'affaiblir sur le Dar al-Islam. Le Dar al-Islam se divisa en plusieurs émirats et shahdoms iraniens, alors que les Califes devinrent de plus en plus faibles et décadents. C'était un signe qu'Allah les avait abandonné. Ce fut ainsi Sa volonté lorsque nous nous sommes emparés de Bagdad et de la personne du Calife, et même si bien peu de musulmans virent la main d'Allah, ils changèrent d'avis lorsque l'ensemble du Machreq tomba entre nos mains ! Nous avons donc demandé un nouveau titre au Calife, celui de Amîr al-'umara', "émir des émirs", qui nous donne une supériorité sur les émirs et une revendication pour régenter le Dar al-Islam. Toutefois, le Calife ne nous cache pas son mécontentement. Qu'importe, car même le Vicaire de Dieu ne peut désobéir à la volonté de Dieu !  ";;;;;;;;;;;x;;;;;;;;;
EVTOPTA_RIRSEMUS_111112;Allahu Akbar !;Allah Ouakbar !;;;;;;;;;;;x;;;;;;;;;
EVTNAME_RIRSEMUS_111113;The Khilâfa is reborn !;Le Khilâfa renaît !;;;;;;;;;;;x;;;;;;;;;
EVTDESC_RIRSEMUS_111113;Since the times of the Rashidun Caliphs, the "Rightly Guided" , and the fall of Ummayads, the grasp of the Allah's vicar never cease to weaken on the Dar Al Islam . We benefit this decline by taking our independance, while respecting the - theoric - authority of the Caliph. But we never thought that the Caliphs may ever regain such power, and they now are granted their power from their control over the essential regions of the Machreq. The Caliph in charge claim again his will to rule over the Dar Al Islam directly once more. It is dangerous for us and our authority, and some within our territories even claim our independance is an usurpation of the true, rightfull authority ! ;"Depuis les Califes Rashiduns, "les biens guidés" et la chute des Ommeyyades, l'emprise du Vicaire d'Allah n'a cessé de s'affaiblir sur le Dar al-Islam. Nous avons profité de ce décrépissement pour déclarer notre indépendance, tout en respectant l'autorité, théorique, du Calife. Nous ne pensions pas que les Califes deviennent à nouveau aussi puissants, car ils tiennent à nouveau sous leur autorité directe les régions essentielles du Machreq. Le Calife actuel a proclamé ses prétentions à exercer son autorité directe sur tout le Dar al-Islam. C'est dangereux pour nous, et certains dans nos territoires regardent notre indépendance comme une atteinte à l'autorité légitime !  ";;;;;;;;;;;x;;;;;;;;;
EVTOPTA_RIRSEMUS_111113;Caliph or not , my realm stay MY realm ! ;Calife ou pas, mon domaine reste MON domaine;;;;;;;;;;;x;;;;;;;;;
EVTNAME_RIRSEMUS_111114;Amîr al-'umara;Amîr al-'umara'!;;;;;;;;;;;x;;;;;;;;;
EVTDESC_RIRSEMUS_111114;Since the times of the Rashidun Caliphs, the "Rightly Guided" , and the fall of Ummayads, the grasp of the Allah's vicar never cease to weaken on the Dar Al Islam . We benefit this decline by taking our independance, while respecting the - theoric - authority of the Caliph. Yet, the Caliph fell within the grasp of one the Amîr or a Shah . We were not paying attention, but now, this dog , arguing that he possess all of the Machreq the heart of the Muslim world , claim the title of Amir-al'umara from the Caliph. He claim this title give him the right to rule the Dar Al Islam instead of the Caliph !;"Depuis les Califes Rashiduns, "les biens guidés" et la chute des Ommeyyades, l'emprise du Vicaire d'Allah n'a cessé de s'affaiblir sur le Dar al-Islam. Nous avons profité de ce décrépissement pour déclarer notre indépendance, tout en respectant l'autorité, théorique, du Calife. Un des Amîrs ou des Shahs s'est emparé de la personne du Calife. Nous nous sommes peu inquiétés de ce fait, mais voilà maintenant que ces chiens, arguant qu'ils contrôlaient l'ensemble du Machreq, le coeur du monde musulman, ont arraché au Calife le titre de Amîr al-'umara', "émir des émirs". Ils prétendent que ce titre leur donne une prétention pour régenter le Dar al-Islam en place et en lieu du Calife ! ";;;;;;;;;;;x;;;;;;;;;
EVTOPTA_RIRSEMUS_111114;I will never pledge allegiance to theses upstarts !;Je n'accepterai jamais ces parvenus !;;;;;;;;;;;x;;;;;;;;;
EVTOPTB_RIRSEMUS_111114;They will pay for this, I am the Kalifâ Rasul Allah !;Ils me le paieront, je suis le Khalîfa Rasul Allah !;;;;;;;;;;;x;;;;;;;;;
EVTNAME_RIRSEMUS_111115;Decadency of the Khilafât !;Décadence du Khilâfa !;;;;;;;;;;;x;;;;;;;;;
EVTDESC_RIRSEMUS_111115;The current Caliph Rasul Allah, which mean yourself, is a pathetic person. You lost the entire Machreq, the heart of the muslim world . It is a proof that Allah does consider his Vicar to be decadent and isn't worthy enough anymore to lead the Dar Al Islam. Well, it is what the neighbouring Amîrs and Shah like to say loudly, without any consideration for your rank. It is an absolute priority for us to retake the heart of the Machreq to renew our temporal pretentions on the entire Ummah !; Le dernier Calife Rasul Allah, c'est-à-dire vous, est décidément un bien piètre personnage. Vous avez même perdu le contrôle de l'ensemble du Machreq, le coeur du monde musulman. C'est la preuve qu'Allah considère que son Vicaire est décadent et ne mérite pas de diriger le Dar al-Islam. En tout cas, c'est ce que les Amîrs et Shahs environnants prétendent tout haut, sans aucune considération pour votre rang. Il est essentiel de s'emparer à nouveau du coeur du Machreq afin de renouveller nos prétentions temporelles sur l'ensemble de l'Oumma;;;;;;;;;;;x;;;;;;;;;
EVTOPTA_RIRSEMUS_111115;A sad day for Islam ! And especially for me …;Triste jour pour l'Islam ! Et pour moi surtout !;;;;;;;;;;;x;;;;;;;;;
EVTNAME_RIRSEMUS_111116;Loss of the title of Amîr al-'umara;Perte du titre de Amîr al-'umara' !;;;;;;;;;;;x;;;;;;;;;
EVTDESC_RIRSEMUS_111116;By losing one of the major places of the Machreq, we lost all legitimacy to call ourselves Emir of Emirs, for the Leader of the Believer revoked our investiture . The Caliph stated that our reversals where a proof that Allah consider that we are not worthy anymore to lead the Dar Al Islam . Neighbouring Amîrs and Shahs followed the Caliph , without any consideration to your rank . It is an absolute priority for us to retake the heart of the Machreq to renew our temporal pretentions on the entire Ummah !; En perdant l'un des lieux essentiels du Machreq, nous avons perdu toute légitimité à nous prétendre Emir des émirs, car le Commandeur des Croyants nous a retiré notre investiture. Le Calife affirme que c'est la preuve qu'Allah considère que nous ne méritons pas diriger le Dar al-Islam. Les Amîrs et Shahs environnants ont repris le même discours, sans aucune considération pour votre rang. Il est essentiel de s'emparer à nouveau du coeur du Machreq afin de renouveller nos prétentions temporelles sur l'ensemble de l'Oumma;;;;;;;;;;;x;;;;;;;;;
EVTOPTA_RIRSEMUS_111116;A sad day for me! And also for Islam;Triste jour pour moi ! Et pour l'Islam aussi !;;;;;;;;;;;x;;;;;;;;;
op_ca_vs_al;The Caliph consider the title Amir-al'umara as an insult to his right to rule the Dar Al Islam. ;Le Calife considère le titre de Amîr al-'umara' comme un outrage à sa souveraineté sur l'ensemble de l'Oumma ;;;;;;;;;x;;;;;;;;;;;
op_al_vs_al;This Amîr or Shah was extremely unhappy about the pretention of the Amîr al-'umara', who took the Caliph in hostage, to rule the entire Ummah;Cet Amîr ou ce Shah considère très mal la prétention de l'Amîr al-'umara', qui tient le Calife en otage, de vouloir régenter l'ensemble de l'Oumma ;;;;;;;;;x;;;;;;;;;;;
sempar_cal;Take over the Caliphate ;S'emparer du Califat;;;;;;;x;;;;;;;;;;;;;
sempar_cal_desc;As a descendent of the Qurayshites the father's tribe of the Prophet, we have the right to bear the title of Amîr al-Mû'Minin , Leader of the Believers -Caliph. We managed to become independant from the Caliph and to become a powerfull Amîr. To become caliph instead of the caliph, we absolutely need to take over the Machreq, the heart of the Muslim world, and show a lot of piety and rigor. Thus, Ulemmas will accept our Caliphal proclamation. ;En tant que descendant des Qurayshites, la tribu paternelle du Prophète, nous détenons le droit de devenir Amîr al-Mu'Minîn, Commandeur des Croyants, Calife. Nous avons réussi à devenir indépendant de l'autorité califale et à nous élever comme un puissant Amîr. Pour devenir Calife à la place du Calife, il nous faut absolument s'emparer du Machreq, le coeur du monde musulman, et faire preuve d'une grand pièté et rigueur, ainsi les Oulémas accepteront notre proclamation califale.;;;;;;;x;;;;;;;;;;;;;
EVTNAME_RIRSEMUS_111117;A new Caliph !;Nouveau Calife !;;;;;;;;;;;x;;;;;;;;;
EVTDESC_RIRSEMUS_111117;Allah be praised, for Ulemmas recognized our right to proclaim ourselves Caliph in order to clean the Vicar of God's seat from the last decadent dynasty . Our blood of Qurayshites give us this right, but it is our great piety which lead us to this rightfull usurpation. Now that the Ummah recover a real sovereign, it is time to put an end to the Fitna ! ; Loué soit Allah, car les Oulémas ont reconnu que nous détenions le juste droit de nous proclamer Calife pour remplacer la dernière dynastie décadente qui souillait le siège du Vicaire de Dieu. Notre sang de Qurayshite nous en donne le droit mais c'est notre pièté sans faille qui justifie cette usurpation légitime. Maintenant que l'Oumma a retrouvé un souverain digne de ce nom, il est temps d'obéir à la volonté de Dieu en mettant fin à la Fitna !;;;;;;;;;;;x;;;;;;;;;
EVTOPTA_RIRSEMUS_111117;Let's unite the Dar Al Islam once more. ;Réunissons le Dar al-Islam;;;;;;;;;;;x;;;;;;;;;
EVTOPTB_RIRSEMUS_111117;Let's unite the Dar Al Islam once more. ;Réunissons le Dar al-Islam;;;;;;;;;;;x;;;;;;;;;
EVTOPTC_RIRSEMUS_111117;Let's unite the Dar Al Islam once more. ;Réunissons le Dar al-Islam;;;;;;;;;;;x;;;;;;;;;
EVTNAME_RIRSEMUS_111118;New Caliph !;Nouveau Calife !;;;;;;;;;;;x;;;;;;;;;
EVTDESC_RIRSEMUS_111118;We recently had news from the Machreq : the Ulemmas recognized a new Sunni Caliph. The Qurayshite blood of  [From.GetTitledFirstName] is known by everyone, so he didn't have any diffuculty to « usurp » the caliphate seat, because his power is great. He claim it was Allah's will, and exige our obedience. Indeed, we will quote his name in the khûtba (Friday prayer) , but the Caliph who will force me to bend the knee is not yet born !;" Nous avons reçu quelques nouvelles du Machreq : les Oulémas ont reconnu un nouveau Calife sunnite. Le sang Qurayshite de [From.GetTitledFirstName] est connu par tous, et il n'a pas donc eu de difficulté à "usurper" le siège califal, puisque sa puissance est grande. Il clame que c'est la volonté d'Allah et nous enjoint de lui obéir. Certes, nous allons citer son nom dans la khûtba (prière du vendredi), mais il n'est pas encore né le Calife qui me fera plier genou !";;;;;;;;;;;x;;;;;;;;;
EVTOPTA_RIRSEMUS_111118;Well, let's see what he is going to do.;Bon, voyons voir comment il va se débrouiller;;;;;;;;;;;x;;;;;;;;;
EVTNAME_RIRSEMUS_111119;New Caliph !;Nouveau Calife !;;;;;;;;;;;x;;;;;;;;;
EVTDESC_RIRSEMUS_111119;We recently had news from the Machreq : the Ulemmas recognized a new Shia Caliph Imâm. The Qurayshite blood of  [From.GetTitledFirstName] is known by everyone, so he didn't have any diffuculty to « usurp » the caliphate seat, because his power is great. He claim it was Allah's will, and exige our obedience. Indeed, we will quote his name in the khûtba (Friday prayer) , but the Caliph who will force me to bend the knee is not yet born !;" Nous avons reçu quelques nouvelles du Machreq : les Oulémas ont reconnu un nouveau Calife Imâm shiite. Le sang Qurayshite de [From.GetTitledFirstName] est connu par tous, et il n'a pas donc eu de difficulté à "usurper" le siège califal, puisque sa puissance est grande. Il clame que c'est la volonté d'Allah et nous enjoint de lui obéir. Certes, nous allons citer son nom dans la khûtba (prière du vendredi), mais il n'est pas encore né le Calife qui me fera plier genou !";;;;;;;;;;;x;;;;;;;;;
EVTOPTA_RIRSEMUS_111119;Well, let's see what he is going to do.;Bon, voyons voir comment il va se débrouiller;;;;;;;;;;;x;;;;;;;;;
khadjirite;Khawarij;Khawarij;;;;;;;;;x;;;;;;;;;;;
khadjirite_DESC;The Khadjirism id the third principal branch of Islam with the Sunnism and the Shiaism. The Khadjirism is born from the refusal of the arbitration between Ali and Mu'âwîya, thnking that the aliph , as the Vicar of God, is only subject to divine arbitration. The official lord of the Khadjirit islam is the Khalîfa Imâm. The Khadjirites think the Caliph must be elected by the muslim, without consideration about the Qurayshite lineage. ;Le Kharidjisme est la troisième principale branche de l'Islam avec le Chiisme et le Sunnisme. Le Kharidjisme est issu du refus de l'arbitrage entre Ali et Mu'âwîya, estimant que le Calife, en tant que Vicaire de Dieu ne se soumet qu'à l'arbitrage divin. Le chef officiel de l'islam kharidjite est le Khalîfa Imâm. Les Kharidjites estiment que le Calife doit être élu par les musulmans, sans considération d'appartenance aux Qurayshites \nDans le jeu :\n§Y*§! Le califat est dirigé par un chef laïc et peut cesser d'exister\n§Y*§! Le calife est libre d'assujettir d'autres dirigeants musulmans\n§Y*§! Le calife peut déclarer des jihads\n§Y*§! Les dirigeants musulmans peuvent (et doivent) avoir plusieurs femmes\n§Y*§! Les fiefs religieux peuvent être tenus par quiconque sans pénalité\n§Y*§! Les dynasties musulmanes deviennent décadentes, sauf si les hommes ont assez de terres et qu'ils gagnent des guerres\n§Y*§! Les Kharidjites sont les seuls musulmans à avoir accès à l'élection;;;;x;;;;;;;;;;;;;;;;
